Row ID,Row Name,Bonus Souls - Singleplayer,Bonus Souls - Multiplayer,Humanity Point Count Flag ID,Humanity Drop Point 1,Humanity Drop Point 2,Humanity Drop Point 3,Humanity Drop Point 4,Humanity Drop Point 5,Humanity Drop Point 6,Humanity Drop Point 7,Humanity Drop Point 8,Humanity Drop Point 9,Humanity Drop Point 10,Sub - Bonus Souls - Singleplayer,Sub - Bonus Souls - Multiplayer,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11
1,,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
10000800,,1,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000801,-1,-1,0,10000800,-233.64,1116954952,349.6,10,0,0
10000850,,0,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,82100,10000851,1000101,1000100,0,10000850,-16.94,-1070596096,-17.6,10,0,0
10010800,,1,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,82100,10000851,1000101,1000100,0,10010800,-16.94,-1070596096,-17.6,266,0,0
11000800,,1,120000,120000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,11000800,67.41,1117650944,-455.18,11,0,0
11000850,,1,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,11000850,-131.56,1106777211,-386.36,11,0,0
11050800,,1,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,11050800,41.02,1115831665,-421.28,1291,0,0
11050850,,0,150000,150000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,11050850,-132.34,1106787697,-386.62,1291,0,0
12010800,,1,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,12010800,-193,-1017085952,59.76,268,0,0
12010850,,1,58000,58000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,12010850,-224.54,-1013020754,-306.44,268,0,0
12020800,,1,32000,32000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,12020800,1213.21,-1004868567,1934.45,524,0,0
12020830,,1,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,12020830,1240.1,-1002758963,1738.16,524,0,0
12020850,,1,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,82103,30020801,3002100,3002000,0,12020850,995.94,-1004904448,1146.54,524,0,0
