Row ID,Row Name,Unk0,Unk1,Unk2,Unk3
10010,,1,241301,1320720,0
11000,,1,241302,666360,0
11050,,1,241303,1977080,0
11100,,1,241304,666460,0
12010,,1,241305,1322720,0
12011,,1,241306,1978080,0
12012,,1,241307,667360,0
12020,,1,241308,667361,0
12030,,1,241310,667362,0
12050,,1,241311,1978081,0
12070,,1,241309,1322721,0
13000,,1,241312,668360,0
14000,,1,241313,669360,0
15000,,1,241315,1325720,0
15001,,1,241314,670360,0
16000,,1,241316,671360,0
18000,,0,241317,781896,0
19000,,1,241318,2632440,0
35000,,1,241319,1321720,0
39200,,1,241320,2028080,0
61000,,0,241321,716360,0
61001,,0,241322,1371720,0
61002,,1,241323,2027080,0
62000,,1,241324,717360,0
62001,,1,241325,1372720,0
62002,,1,241326,2683440,0
63000,,1,241327,718360,0
63001,,1,241328,1373720,0
63002,,1,241329,2029080,0
63003,,1,241330,720360,0
64000,,1,241331,719360,0
64001,,1,241332,2030080,0
64002,,1,241336,1374720,0
65000,,1,241333,1375720,0
65001,,1,241334,2031080,0
65002,,1,241335,2686440,0
