Row ID,Row Name,Unk0,Unk1,Unk1,Unk2,Unk3,Unk4,Unk5,Sword Arts ID,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22,Unk23
20,test gem 2,1,0,-256,100,-1,-1,0,-1,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
30,test gem 3,1,0,-256,-1,-1,-1,0,-1,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
40,,1,21000,-256,2300,2810,-1,710600,100,0,100,0,999999,-1,67583,103,-65537,15,2300,2810,-1,-1,-1,-1,0,0
41,,1,21001,-256,-1,-1,-1,710600,100,0,100,0,999999,-1,67583,103,-65537,15,6405,6505,6405,6505,-1,-1,0,0
80,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
81,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
82,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
83,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
84,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
85,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
86,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
87,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
88,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
89,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
90,,1,0,-256,-1,-1,-1,0,100,0,0,-1,999999,-1,2047,98,-65537,15,-1,-1,-1,-1,-1,-1,0,0
100,,1,0,-256,-1,-1,-1,0,100,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
101,,1,0,-256,-1,-1,-1,0,101,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
102,,1,0,-256,-1,-1,-1,0,102,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
103,,1,0,-256,-1,-1,-1,0,103,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
104,,1,0,-256,-1,-1,-1,0,104,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
105,,1,0,-256,-1,-1,-1,0,105,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
106,,1,0,-256,-1,-1,-1,0,106,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
107,,1,0,-256,-1,-1,-1,0,107,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
108,,1,0,-256,-1,-1,-1,0,108,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
109,,1,0,-256,-1,-1,-1,0,109,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
110,,1,0,-256,-1,-1,-1,0,110,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
111,,1,0,-256,-1,-1,-1,0,111,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
112,,1,0,-256,-1,-1,-1,0,112,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
113,,1,0,-256,-1,-1,-1,0,113,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
114,,1,0,-256,-1,-1,-1,0,114,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
115,,1,0,-256,-1,-1,-1,0,115,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
116,,1,0,-256,-1,-1,-1,0,116,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
117,,1,0,-256,-1,-1,-1,0,117,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
118,,1,0,-256,-1,-1,-1,0,118,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
119,,1,0,-256,-1,-1,-1,0,119,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
120,,1,0,-256,-1,-1,-1,0,120,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
121,,1,0,-256,-1,-1,-1,0,121,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
122,,1,0,-256,-1,-1,-1,0,122,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
123,,1,0,-256,-1,-1,-1,0,123,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
124,,1,0,-256,-1,-1,-1,0,124,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
125,,1,0,-256,-1,-1,-1,0,201,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
126,,1,0,-256,-1,-1,-1,0,202,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
127,,1,0,-256,-1,-1,-1,0,203,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
128,,1,0,-256,-1,-1,-1,0,204,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
129,,1,0,-256,-1,-1,-1,0,205,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
130,,1,0,-256,-1,-1,-1,0,207,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
131,,1,0,-256,-1,-1,-1,0,208,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
132,,1,0,-256,-1,-1,-1,0,209,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
133,,1,0,-256,-1,-1,-1,0,210,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
134,,1,0,-256,-1,-1,-1,0,225,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
135,,1,0,-256,-1,-1,-1,0,212,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
136,,1,0,-256,-1,-1,-1,0,213,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
137,,1,0,-256,-1,-1,-1,0,214,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
138,,1,0,-256,-1,-1,-1,0,216,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
139,,1,0,-256,-1,-1,-1,0,217,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
140,,1,0,-256,-1,-1,-1,0,218,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
141,,1,0,-256,-1,-1,-1,0,219,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
142,,1,0,-256,-1,-1,-1,0,220,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
143,,1,0,-256,-1,-1,-1,0,221,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
144,,1,0,-256,-1,-1,-1,0,222,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
146,,1,0,-256,-1,-1,-1,0,300,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
147,,1,0,-256,-1,-1,-1,0,301,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
148,,1,0,-256,-1,-1,-1,0,302,0,100,0,999999,-1,67583,103,-65537,15,-1,-1,-1,-1,-1,-1,0,0
