Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5
2,,280100,0,65537,280100,256,0
3,,280101,1,1,280110,257,0
4,,280102,2,1,0,257,0
5,,280103,3,1,0,257,0
6,,280104,4,1,0,257,0
7,,280105,6,65793,280105,257,0
8,,280106,7,65793,280106,257,0
9,,280107,5,65793,280107,257,0
10,,280020,-1,65793,0,257,0
11,,280200,8,1,280199,257,0
12,,280201,9,1,0,257,0
13,,280202,10,1,0,257,0
14,,280203,11,1,0,257,0
15,,280204,12,65793,280204,257,0
16,,280030,-1,65793,0,257,0
17,,280303,13,65793,280303,257,0
18,,280300,14,65793,280300,257,0
19,,280301,15,65793,280301,257,0
20,,280302,16,65793,280302,257,0
21,,280040,-1,65793,0,257,0
22,,280400,17,65793,280400,257,0
23,,280401,18,65793,280401,257,0
24,,280402,19,65793,280402,257,0
25,,280403,20,65793,280403,257,0
26,,280405,21,65793,280405,257,0
27,,280404,22,65792,280404,257,0
28,,0,24,65793,280500,0,0
29,,0,25,65793,280501,0,0
30,,0,41,16843009,0,0,0
31,,0,42,16843009,0,0,0
