Row ID,Row Name,Loadscreen Category ID,Knowledge ID
2,,0,0
3,,0,0
4,,0,0
5,,0,0
6,,0,0
7,,0,0
8,,0,0
9,,0,0
10,,0,0
11,,0,0
12,,0,0
13,,0,0
14,,0,0
15,,0,0
16,,0,0
50,,0,0
52,,0,0
53,,0,0
54,,0,0
55,,0,0
56,,0,0
57,,0,0
58,,0,0
59,,0,0
60,,1,0
61,,0,0
62,,1,0
64,,0,0
65,,0,0
66,,0,0
67,,1,0
68,,0,0
70,,1,0
71,,1,0
72,,1,0
73,,1,0
74,,1,0
75,,1,0
76,,1,0
77,,0,0
100,,0,0
101,,0,0
102,,0,0
103,,0,0
104,,0,0
105,,0,0
106,,0,0
107,,0,0
108,,0,0
109,,0,0
110,,0,0
111,,0,0
112,,0,0
113,,0,0
114,,0,0
115,,0,0
116,,0,0
117,,0,0
118,,0,0
150,,0,0
151,,0,0
152,,0,0
153,,1,0
200,,0,0
