Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19
1000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,1000,0,0,0,0,0,0,0,0,0,0
2000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
2010,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,1000,0,0,0,0,0,0,0,0,0
2020,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,65536000,0,0,0,0,0,0,0,0,0
3000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,1000,0,0,0,0,0,0,0,0
3010,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,65536000,0,0,0,0,0,0,0,0
3020,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,1000,0,0,0,0,0,0,0
3021,,0,1,720906,1376276,2621471,3276841,3932211,-65476,-1,0,0,0,1000,0,0,0,0,0,0,0
3022,,0,1,720906,1376276,2621522,3276841,3932211,-65476,-1,0,0,0,1000,0,0,0,0,0,0,0
4000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,65536000,0,0,0,0,0,0,0
4001,,1,1,720906,1376276,5439518,3276841,3932211,-65476,-1,0,0,0,65536000,0,0,0,0,0,0,0
4010,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,0,1000,0,0,0,0,0,0
4020,,1,1,720906,1376276,2621470,3276881,3932211,-65476,-1,0,0,0,0,1000,0,0,0,0,0,0
5000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,0,65536000,0,0,0,0,0,0
5010,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,0,0,1000,0,0,0,0,0
5011,,0,1,720906,1376276,2621470,3276841,3932212,-65476,-1,0,0,0,0,0,1000,0,0,0,0,0
6000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,0,0,65536000,0,0,0,0,0
7000,,1,1,720906,1376276,2621470,3276841,3932211,-65453,-1,0,0,0,0,0,0,1000,0,0,0,0
100000000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
100100000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
110000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
110500000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
111000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120100000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120200000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120300000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120400000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120500000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120600000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120700000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120800000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
120900000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
130000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
140000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,1000,0,0,0,0,0,0,0,0
140000001,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,1000,0,0,0,0,0,0,0,4,0,0
150000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
150000010,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,0,0,0,65536000,0,0,0,0,0,0,0
160000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
180000000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
190000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300000000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300100000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300200000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300300000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300400000,,0,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300500000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300600000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300700000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
300800000,,1,1,720906,1376276,2621470,3276841,3932211,-65476,-1,65536000,0,0,0,0,0,0,0,0,0,0
