Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7
10000010,,0,1,2,-1,-1,1,0,0
10000020,,1,1,2,-1,-1,1,0,0
10000030,,1,1,2,-1,-1,1,0,0
10000040,,1,1,2,999999002,999999002,-1,0,0
10000050,,1,1,0,-1,-1,1,0,0
10010000,,1,1,2,999999003,999999003,-1,0,0
10010001,,1,1,2,999999003,999999003,-1,0,0
10010010,,1,1,2,999999003,999999003,-1,0,0
11000040,,1,1,2,-1,-1,1,0,0
11050010,,1,1,2,-1,-1,1,0,0
11050020,,1,1,2,-1,-1,1,0,0
12010000,,1,5,2,999999002,999999002,1,0,0
12010001,,1,5,2,999999100,999999100,1,0,0
12020000,,1,5,2,999999002,999999002,1,0,0
12020001,,1,5,2,999999100,999999100,1,0,0
12020020,,1,5,2,-1,-1,1,0,0
12020021,,1,5,2,-1,-1,1,0,0
12020022,,1,5,2,-1,-1,1,0,0
12030010,,1,5,2,999999002,999999002,1,0,0
12030011,,1,5,2,999999100,999999100,1,0,0
12030020,,1,5,2,-1,-1,1,0,0
12030021,,1,5,2,-1,-1,1,0,0
12050020,,1,5,2,-1,-1,1,0,0
12060000,,1,5,2,-1,-1,1,0,0
13000010,,1,1,2,-1,-1,1,0,0
13000040,,1,1,2,-1,555555556,1,0,0
13000050,,1,1,2,999999000,999999010,1,0,0
13000052,,1,1,2,-1,-1,1,0,0
13000054,,1,1,2,-1,-1,1,0,0
13000055,,1,1,2,-1,-1,1,0,0
13000056,,1,1,2,-1,-1,1,0,0
13000058,,1,1,2,-1,-1,1,0,0
13000060,,1,1,2,-1,-1,1,0,0
14000000,,1,5,2,-1,-1,1,0,0
14000001,,1,5,2,-1,-1,1,0,0
14000010,,1,5,2,-1,-1,1,0,0
15000000,,1,1,2,-1,-1,1,0,0
15000010,,1,1,2,-1,-1,1,0,0
15000020,,1,1,2,-1,-1,1,0,0
16000000,,1,1,2,-1,-1,1,0,0
16000010,,1,1,2,-1,-1,1,0,0
16000020,,1,1,2,-1,-1,1,0,0
19000000,,1,1,2,-1,-1,1,0,0
19000010,,1,5,2,999999005,999999015,-1,0,0
19000011,,1,1,2,999999005,999999015,-1,0,0
19000015,,1,1,2,999999005,999999015,-1,0,0
19000019,,1,1,2,999999005,999999015,-1,0,0
19000020,,1,5,2,999999005,999999015,-1,0,0
19000021,,1,5,2,999999005,999999015,-1,0,0
19000030,,1,5,2,999999005,999999015,-1,0,0
19000031,,1,1,2,999999005,999999015,-1,0,0
19000032,,1,1,2,999999005,999999015,-1,0,0
19000034,,1,1,2,999999005,999999015,-1,0,0
19000040,,1,1,2,-1,-1,1,0,0
19000050,,1,1,2,-1,-1,1,0,0
19000060,,1,1,2,999999005,999999015,-1,0,0
19000061,,1,1,2,999999005,999999015,-1,0,0
19000069,,1,1,2,999999005,999999015,-1,0,0
19000070,,1,1,2,999999005,999999015,-1,0,0
19000071,,1,1,2,999999005,999999015,-1,0,0
19000079,,1,1,2,999999005,999999015,-1,0,0
19000080,,1,1,2,999999005,999999015,-1,0,0
19000081,,1,1,2,999999005,999999015,-1,0,0
19000089,,1,1,2,999999005,999999015,-1,0,0
31000000,,1,5,2,-1,-1,1,0,0
31000001,,1,5,2,-1,-1,1,0,0
34100000,,1,1,2,-1,-1,1,0,0
34100002,,1,1,2,-1,-1,1,0,0
34110000,,1,1,2,-1,-1,1,0,0
34110001,,1,1,2,-1,-1,1,0,0
34110010,,1,1,2,-1,-1,1,0,0
34130000,,1,1,2,-1,-1,1,0,0
34130002,,1,1,2,-1,-1,1,0,0
35000000,,1,1,2,-1,-1,1,0,0
35000010,,1,1,0,-1,-1,1,0,0
35000020,,1,1,0,-1,-1,1,0,0
60370000,,1,1,2,-1,-1,1,0,0
60380000,,1,1,2,999999012,999999012,1,0,0
60380001,,1,1,2,999999100,999999100,1,0,0
60380010,,1,1,2,999999012,999999012,1,0,0
60380011,,1,1,2,999999100,999999100,1,0,0
60420000,,0,1,2,-1,-1,1,0,0
60420001,,0,1,2,-1,-1,1,0,0
60420002,,0,1,2,-1,-1,1,0,0
60420003,,0,1,2,-1,-1,1,0,0
60420004,,0,1,2,-1,-1,1,0,0
60420005,,0,1,2,-1,-1,1,0,0
60420006,,0,1,2,-1,-1,1,0,0
60420007,,0,1,2,-1,-1,1,0,0
60430000,,1,5,2,999999100,999999100,-1,0,0
60490000,,1,1,2,999999012,999999012,1,0,0
60490001,,1,1,2,999999100,999999100,1,0,0
60490010,,1,1,2,999999012,999999012,1,0,0
60490011,,1,1,2,999999100,999999100,1,0,0
60490020,,1,1,2,999999012,999999012,1,0,0
60490021,,1,1,2,999999100,999999100,1,0,0
60490030,,1,1,2,999999012,999999012,1,0,0
60490031,,1,1,2,999999100,999999100,1,0,0
60500000,,1,1,0,-1,-1,1,0,0
60510000,,1,1,2,-1,-1,1,0,0
60510010,,1,1,2,-1,-1,1,0,0
60510011,,1,1,2,-1,-1,1,0,0
60520010,,1,1,2,-1,-1,1,0,0
60540000,,1,1,2,999999000,999999010,1,0,0
60540001,,1,1,2,999999000,999999010,1,0,0
60540010,,1,1,2,999999100,999999100,1,0,0
60540011,,1,1,2,999999100,999999100,1,0,0
90000010,,1,1,0,-1,-1,1,0,0
90009999,,1,1,0,-1,-1,1,0,0
