Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22,Unk23
10000010,,0,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
10000020,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
10000030,,1,0,0,0,0,0,0,0,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
10000040,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
10000050,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
10010000,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
10010001,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16842751,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
11000040,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
11050010,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
11050020,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12010000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12010001,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12020000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12020001,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12030010,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12030011,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12030020,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
12030021,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
12050020,,1,0,720907,1310740,0,2621480,3276850,3276860,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
12060000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
13000010,,1,3932220,3932220,3932220,3932220,3932220,3932220,3932220,16842751,16843009,16843009,16843009,1,0,3932220,3932220,3932220,3932220,16843009,16843009,-65536,0,0,0
13000040,,1,0,720907,1310740,0,2621480,3276850,3276860,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
13000050,,1,0,720907,1310740,0,2621480,3276850,3276860,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
13000060,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
14000000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
14000010,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
15000000,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
15000010,,1,0,0,0,0,0,0,0,16908287,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
16000000,,1,0,720907,1310740,0,2621480,3276850,3276860,16842751,16843009,16843009,16843009,1,0,0,0,0,0,16843009,16843009,-65536,0,0,0
16000010,,1,65536,720906,1376276,2031646,2687016,3342386,3407932,16908287,16843009,16843009,16843009,1,0,5374033,5505107,5636181,5767255,16843009,16843009,-65536,0,0,0
