Row ID,Row Name,Action Enabled Message ID,Action Failed Message ID,Qualified Event ID,Player Animation ID,Character Animation ID,Valid Distance,Qualified Item ID,Qualified Item ID,Object Dummy ID,Object Animation ID,Valid Player Angle,Qualified ID 1 Type,Qualified ID 2 Type,Valid Object Angle,Character Absorb Type,Event Kick Timing,Action Button Param ID,Action Success Message ID
110,,10010400,-1,0,60080,7521,70,0,0,100,0,60,0,0,60,1,1,-1,0
200,,10010400,-1,0,60080,7521,70,0,0,110,1,60,0,0,60,0,1,8000,1050253722
350,,10010400,-1,0,60030,7120,70,0,0,121,3,60,0,0,60,0,1,-1,0
351,,10010400,-1,0,60030,7120,70,0,0,101,1,60,0,0,60,0,1,-1,0
360,,10010400,-1,0,60030,7120,70,0,0,120,1,60,0,0,60,0,1,7100,0
370,,10010400,-1,0,60040,7120,70,0,0,120,1,60,0,0,60,0,1,7100,0
371,,10010400,-1,0,60040,7120,70,0,0,120,1,60,0,0,60,0,1,7100,0
475,,10010400,-1,0,60000,7110,60,0,0,100,0,60,0,0,60,0,1,7100,0
1000,,10010400,-1,0,60500,7120,70,0,0,120,1,60,0,0,60,0,1,7202,0
1011,,10010400,4020,0,60000,7110,70,2001,0,100,0,60,1,0,30,0,1,-1,0
1012,,10010400,4020,0,60000,7110,70,2018,0,100,0,60,2,0,30,0,1,-1,0
1104,,10010400,4020,0,0,7110,70,0,0,120,0,60,0,0,60,0,1,7701,0
1200,,-1,-1,0,60200,14020,150,0,0,191,0,30,0,0,30,0,0,8501,0
3402,,10010400,4020,0,60002,7110,70,2701,0,120,0,60,1,0,60,0,1,7200,0
10000,,10010500,-1,0,60200,7100,150,0,0,191,1,60,0,0,30,0,0,-1,0
27002,,-1,-1,0,60200,14020,150,0,0,191,0,30,0,0,30,0,0,8301,0
27006,,-1,-1,0,60170,7110,150,0,0,120,1,30,0,0,30,0,1,7200,0
27019,,-1,4010,0,60000,7110,150,4150,0,121,0,30,2,0,30,0,1,7200,0
27030,,-1,4010,0,60030,7110,150,0,0,120,1,30,0,0,30,0,1,7200,0
27031,,-1,4010,0,60170,7110,150,0,0,120,1,30,0,0,30,0,1,7200,0
27039,,-1,4010,0,60030,7110,150,0,0,120,1,30,0,0,30,0,1,7200,0
27041,,-1,4010,0,60030,7110,150,0,0,120,1,30,0,0,30,0,1,7200,0
27043,,-1,4010,0,60000,7110,70,4150,0,121,0,60,2,0,30,0,1,7200,0
27056,,-1,-1,0,60370,7120,150,0,0,120,0,30,0,0,30,0,1,7220,0
27080,,-1,-1,0,60200,7110,150,0,0,191,0,30,0,0,30,0,0,8401,0
27115,,-1,-1,0,60200,14020,150,0,0,191,0,30,0,0,30,0,0,8401,0
27143,,-1,4010,0,60000,7110,150,0,0,121,0,30,0,0,30,0,1,7201,0
30000,,-1,4010,0,60000,7110,70,4150,0,121,0,60,2,0,30,0,1,7200,0
30183,,-1,-1,0,60200,7110,150,0,0,191,0,30,0,0,30,0,1,8301,0
90000,,10010400,-1,0,60040,7120,70,0,0,120,1,60,0,0,60,0,1,7100,0
90001,,10010400,4020,0,60040,7120,70,2001,2100,120,1,60,1,1,60,0,1,7100,0
90002,,10010400,4010,0,60030,7120,70,4150,0,120,1,60,2,0,60,0,1,7100,0
90010,,10010400,-1,0,60000,7110,70,0,0,120,0,60,0,0,60,0,1,7100,0
90011,,10010400,4020,0,60000,7110,70,2001,2100,120,0,60,1,1,60,0,1,7100,0
90012,,10010400,4010,0,60000,7110,70,4150,0,120,0,60,2,0,60,0,1,7100,0
90013,,10010400,4020,0,60002,14000,70,0,0,120,1,60,0,0,60,0,1,7100,0
90014,,10010400,4020,0,60030,14000,70,0,0,100,1,60,0,0,60,0,1,7110,0
90015,,10010400,4020,0,60000,14000,70,0,0,121,1,60,0,0,60,0,1,8920,0
90016,,10010400,-1,0,230000,14000,20,0,0,101,0,60,0,0,60,0,1,7500,0
90017,,10010400,-1,0,0,0,20,0,0,0,9999,60,0,0,60,0,1,7800,0
90018,,10010400,-1,0,0,7120,20,0,0,100,0,60,0,0,60,1,1,6560,0
99013,,10010400,-1,0,60080,7521,70,0,0,110,1,60,0,0,60,0,1,8000,1050253722
99020,,-1,4010,0,60000,7110,70,4150,0,121,0,60,2,0,30,0,1,7200,0
99026,,-1,-1,0,60200,7110,150,0,0,191,0,30,0,0,30,0,1,8301,0
99182,,-1,-1,0,60200,7110,150,0,0,191,0,30,0,0,30,0,1,8301,0
99290,,10010400,-1,0,60080,7521,70,0,0,110,1,60,0,0,60,0,1,9120,1050253722
99340,,-1,-1,0,60530,7100,150,0,0,200,1,30,0,0,30,1,1,9532,0
99630,,10010400,-1,0,60080,7521,70,0,0,110,1,60,0,0,60,0,1,8000,1050253722
99631,,10010400,-1,0,60120,7521,70,0,0,110,1,60,0,0,60,0,1,8000,1050253722
99632,,10010400,-1,0,60120,7521,70,0,0,110,1,60,0,0,60,0,1,8000,1050253722
100000,,10010400,-1,0,0,7120,200,0,0,100,0,60,0,0,60,0,1,7600,0
100001,,10010400,-1,0,60100,0,200,0,0,90,0,60,0,0,60,1,1,7700,0
100002,,10010400,-1,0,240000,0,200,0,0,200,0,60,0,0,60,1,1,7900,0
100101,,10010400,-1,0,60110,7120,70,0,0,120,1,60,0,0,60,0,1,7202,1073741824
110063,,-1,4010,0,60030,7110,70,0,0,120,1,60,0,0,30,0,1,7320,0
110064,,-1,-1,0,60370,7120,150,0,0,121,0,30,0,0,30,0,1,7201,0
110100,,10010400,4020,0,60000,7110,70,2701,0,120,0,60,1,0,60,0,1,7100,0
127201,,-1,4081,0,60180,7120,150,8148,0,120,1,30,1,0,30,0,1,7200,0
199630,,10010400,4020,0,60080,7521,70,8199,0,110,1,60,1,0,60,0,1,8000,1050253722
199632,,10010400,4070,0,60120,7521,70,9710,0,110,1,60,2,0,60,0,1,8000,1050253722
219000,,-1,4010,0,60000,7110,70,4150,0,121,0,60,2,0,30,0,1,7200,0
219001,,-1,-1,0,60160,7120,150,0,0,120,1,30,0,0,30,0,1,7200,0
219002,,-1,4072,0,60030,7120,70,106,0,120,1,60,1,0,30,0,1,7200,0
219003,,-1,4020,0,60000,7110,70,8010,0,121,0,60,1,0,30,0,1,7200,0
219010,,-1,-1,0,60200,7110,150,0,0,191,0,30,0,0,30,0,1,8301,0
219030,,-1,-1,0,60231,7110,150,0,0,103,1,30,0,0,30,0,1,8403,0
227010,,-1,4010,0,60000,7110,150,4150,0,121,0,30,2,0,30,0,1,7200,0
