Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7
30010000,,0,30000000,0,0,0,0,0,0
30020000,,0,30000000,0,0,0,0,0,0
30030000,,0,30000000,0,0,0,0,0,0
30040000,,0,30000000,0,0,0,0,0,0
30050000,,0,30000000,0,0,0,0,0,0
30060000,,0,30000000,0,0,0,0,0,0
30070000,,0,30000000,0,0,0,0,0,0
30080000,,0,30000000,0,0,0,0,0,0
30090000,,0,30000000,0,0,0,0,0,0
30100000,,0,30000000,0,0,0,0,0,0
30110000,,0,30000000,0,0,0,0,0,0
30120000,,0,30000000,0,0,0,0,0,0
30130000,,0,30000000,0,0,0,0,0,0
30140000,,0,30000000,0,0,0,0,0,0
30150000,,0,30000000,0,0,0,0,0,0
30160000,,0,30000000,0,0,0,0,0,0
30170000,,0,30000000,0,0,0,0,0,0
30180000,,0,30000000,0,0,0,0,0,0
30190000,,0,30000000,0,0,0,0,0,0
30200000,,0,30000000,0,0,0,0,0,0
31000000,,0,30000000,0,0,0,0,0,0
31010000,,0,30000000,0,0,0,0,0,0
31020000,,0,30000000,0,0,0,0,0,0
31030000,,0,30000000,0,0,0,0,0,0
31040000,,0,30000000,0,0,0,0,0,0
31050000,,0,30000000,0,0,0,0,0,0
31060000,,0,30000000,0,0,0,0,0,0
31070000,,0,30000000,0,0,0,0,0,0
31080000,,0,30000000,0,0,0,0,0,0
31090000,,0,30000000,0,0,0,0,0,0
31100000,,0,30000000,0,0,0,0,0,0
31110000,,0,30000000,0,0,0,0,0,0
31120000,,0,30000000,0,0,0,0,0,0
31130000,,0,30000000,0,0,0,0,0,0
31140000,,0,30000000,0,0,0,0,0,0
31150000,,0,30000000,0,0,0,0,0,0
31160000,,0,30000000,0,0,0,0,0,0
31170000,,0,30000000,0,0,0,0,0,0
31180000,,0,30000000,0,0,0,0,0,0
31190000,,0,30000000,0,0,0,0,0,0
31200000,,0,30000000,0,0,0,0,0,0
31210000,,0,30000000,0,0,0,0,0,0
31220000,,0,30000000,0,0,0,0,0,0
32000000,,0,30000000,0,0,0,0,0,0
32010000,,0,30000000,0,0,0,0,0,0
32020000,,0,30000000,0,0,0,0,0,0
32030000,,0,30000000,0,0,0,0,0,0
32040000,,0,30000000,0,0,0,0,0,0
32050000,,0,30000000,0,0,0,0,0,0
32070000,,0,30000000,0,0,0,0,0,0
32080000,,0,30000000,0,0,0,0,0,0
32090000,,0,30000000,0,0,0,0,0,0
32100000,,0,30000000,0,0,0,0,0,0
32110000,,0,30000000,0,0,0,0,0,0
32120000,,0,30000000,0,0,0,0,0,0
