Row ID,Row Name,Limitation Time 1,Limitation Time 2,Limitation Time 3,Is Enable 1,Is Enable 2,Is Enable 3,Unk,Unk,Unk,Unk,Unk
300000,,30,20,30,True,True,True,True,True,True,False,False
301000,,30,20,30,True,True,True,True,True,True,False,False
302000,,30,20,30,True,True,True,True,True,True,False,False
310000,,30,20,30,True,True,True,True,True,True,False,False
320000,,30,20,30,True,True,True,True,True,True,False,False
330000,,30,20,30,True,True,True,True,True,True,False,False
350000,,30,20,30,True,True,True,True,True,True,False,False
360000,,30,20,30,True,True,True,True,True,True,False,False
370000,,30,20,30,True,True,True,True,True,True,False,False
380000,,30,20,30,True,True,True,True,True,True,False,False
390000,,30,20,30,True,True,True,True,True,True,False,False
400000,,30,20,30,True,True,True,False,False,False,False,False
981000,,30,20,30,True,True,True,True,True,True,False,False
991000,,30,20,30,True,True,True,True,True,True,False,False
