Row ID,Row Name,TextureId0,dmyPolyID,pitchAngle,yawAngle,nearDistance,farDistance,nearSize,farSize,maskSpEffectID,randomVariationNum0,randomVariationNum1,randomVariationNum2,randomVariationNum3,replaceTextureId_byMaterial,dmypolyCategory0,dmypolyCategory1,decalShapeType0,decalShapeType1,decalShapeType2,decalShapeType3,useDeferredDecal,usePaintDecal,targetAttackChr,targetDamageChr,targetOtherChr,targetMapObj,usePom,0x26,0x26,0x26,0x26,0x26,0x26,0x27,0x27,0x27,0x27,0x27,0x27,0x27,0x27,randomSizeMin,randomSizeMax,randomRollMin,randomRollMax,randomPitchMin,randomPitchMax,randomYawMin,randomYawMax,pomHeightScale,pomSampleMin,pomSampleMax,Contrast1,TextureLengthType[0-3],TextureWidthX,TextureWidthZ,TextureLifeTime,0x58,0x5C,0x60,0x64,0x68,0x6C,TextureId1,TextureId2,TextureId3,Brightness,TextureId4,TextureId5,TextureId6,R(Diffuse),G(Diffuse),B(Diffuse),UnkNaM,R(Specular),G(Specular),B(Specular),DelayedSpawnState [ON_OFF],Contrast2,0x98,0x9C,0xA0,0xA1,0xA2,0xA3,minVal,maxVal,0xAC,0xAD,DecalSpawnDelay[sec],0xB0,0xB0,0xB0,0xB0,0xB0,IsContactPlayer,IsFormCube,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,TextureSpawnDelay[sec],Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13
10,,-1,-1,-90,0,-0.5,10,5,5,-1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100,100,0,0,0,0,0,0,1,8,64,1,1,0,0,0,0,0.05,-1,-1,-1,0,999000000,9900030,99900010,1,999000000,-1,-1,200,0,0,0,255,255,255,1,1,300,0,0,0,0,0,1,10,2,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5,50,-256,-1,0,0,0,0,0,0,0,0,0,0
20,,100000,-1,0,0,-0.6,15,2,2,-1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,100,0,0,0,0,0,0,1,8,64,1,0,40,0,15,1,0.05,-1,-1,-1,0,0,100000,9900000,1,9900000,-1,-1,10,255,10,0,255,255,255,1,1,60,10,0,0,1,0,1,10,2,5,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0,5,50,-256,-1,0,0,0,0,0,0,0,0,0,0
30,,-1,-1,0,0,-5,10,15,15,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,100,120,-180,180,0,0,0,0,1,8,64,1,1,10,0,0,0,0.01,-1,-1,803430,0,30000,100000,100000,1,100000,-1,5200530,0,0,0,0,0,0,0,0,0,10,5,255,255,0,0,20,60,2,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,30,-255,-1,0,0,0,0,0,0,0,0,0,0
40,,-1,-1,0,0,-1,50,10,10,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,100,100,0,0,0,0,0,0,8,8,1,1,5,5,3,0,0.01,-1,-1,-1,-1082130432,30100,10,10,1,-1,-1,40010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,1,-16777216,-1,0,0,0,0,0,0,0,0,0,0
100010,,-1,-1,-90,0,-0.5,0.5,1.2,1.2,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,135,-180,180,0,0,0,0,1,8,64,1,0,12,1.5,10,0,0.05,-1,-1,-1,0,-1,101000,-1,0.5,5421500,-1,-1,220,220,220,0,0,0,0,1,0,8,4,0,0,1,0,1,10,2,5,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,3,5,-255,-1,0,0,0,0,0,0,0,0,0,0
100020,,-1,-1,-90,0,-0.5,0.5,1.2,1.2,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,100,135,-180,180,0,0,0,0,1,8,64,1,0,12,1.5,10,0,0.05,-1,-1,-1,0,-1,101000,-1,0.5,5421500,-1,-1,220,220,220,0,0,0,0,1,0,8,4,0,0,1,0,1,10,2,5,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,3,5,-255,-1,0,0,0,0,0,0,0,0,0,0
300010,,6000001,-1,0,0,-1,5,8,8,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,100,0,0,0,0,0,0,1,8,64,2,0,0.3,0.3,15,0,0.05,-1,-1,5001,0,-1,6000001,100000,1,100002002,-1,6000001,255,255,255,0,100,100,100,0,0.2,240,1,0,0,0,0,1,10,2,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2,5,50,-255,-1,0,0,0,0,0,0,0,0,0,0
300011,,6000001,-1,0,0,-1,5,20,20,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,130,0,0,0,0,0,0,1,8,64,1,0,40,40,15,0,0.05,-1,-1,5002,0,-1,6000001,100000,1,-1,-1,6000001,255,255,255,0,100,100,100,0,0.2,240,1,0,0,0,0,1,10,2,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2,5,50,-255,-1,0,0,0,0,0,0,0,0,0,0
300020,,-1,-1,-90,0,-0.5,5,2,2,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100,125,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,0.05,-1,-1,-1,0,100000,100000,100000,1,-1,-1,-1,237,20,20,0,90,7,7,0,1,60,3,0,0,0,1,1,10,2,5,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5,50,-256,-1,0,0,0,0,0,0,0,0,0,0
300030,,-1,-1,0,0,-5,10,3.5,6,-1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,100,180,-180,180,-15,15,-15,15,1,8,64,2,1,10,0,10,0,0.01,-1,-1,645007,0,30000,100000,100000,1,100000,-1,-1,0,0,0,0,0,0,0,1,0,10,5,255,255,1,0,20,60,2,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,30,-255,30,0,0,0,0,0,0,0,0,0,0
