Row ID,Row Name,Material ID 1,Material ID 2,Material ID 3,Material ID 4,Material ID 5,Item Amount 1,Item Amount 2,Item Amount 3,Item Amount 4,Item Amount 5,Is Disable Display Number 1,Is Disable Display Number 2,Is Disable Display Number 3,Is Disable Display Number 4,Is Disable Display Number 5,Material Amount 1,Material Amount 2,Material Amount 3,Material Amount 4,Material Amount 5,Unk1,Unk1,Unk1,Unk2,Unk2,Unk2,Unk2,Unk3,Unk3,Unk3,Unk3,Unk4
1,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
2,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
3,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
4,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
5,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
6,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
7,,10102,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
8,,10102,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
9,,10102,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
10,,10103,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
11,,10103,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
12,,10103,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
13,,10104,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
14,,10104,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
15,,10104,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
16,,10105,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
17,,10105,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
18,,10105,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
19,,10106,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
20,,10106,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
21,,10106,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
22,,10107,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
23,,10107,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
24,,10107,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
25,,10140,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,1,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
100,,1110,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,1,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
101,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
102,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
103,,10100,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
104,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
105,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,4,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
106,,10101,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,6,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
107,,10102,-1,-1,-1,-1,-1,-1,-1,-1,0,False,False,False,False,False,2,-1,-1,-1,-1,-1,0,0,4,15,15,15,15,0,0,0,0
