Row ID,Row Name,Act Type 0,Act Type 1,Attack Type 0,Unknown,Unknown,Unknown,Text ID,Unknown,Unknown,FP Cost,Attack Type 1
1,,0,0,0,0,33620223,-1,10,0,0,0,0
10,No Skill,0,0,0,0,50397695,-1,10,0,-1,-1,255
100,Lion's Claw,0,0,0,0,50397696,-1,100,0,-1,20,255
101,Impaling Thrust,1,0,0,0,50397697,-1,101,0,-1,9,255
102,Piercing Fang,0,0,0,0,50397698,-1,102,0,-1,16,255
103,Spinning Slash,0,0,0,0,50397699,-1,103,0,-1,6,255
104,%null%,1,0,0,0,50397444,-1,104,0,-1,8,255
105,Charge Forth,0,0,0,0,50397701,-1,105,0,-1,16,255
106,Stamp (Upward Cut),0,0,0,0,50397702,-1,106,0,-1,5,255
107,Stamp (Sweep),1,0,0,0,50397703,-1,107,0,-1,5,255
108,Blood Tax,0,0,0,0,50397704,-1,108,0,-1,14,255
109,Repeating Thrust,0,0,0,0,50397705,-1,109,0,-1,7,255
110,Wild Strikes,0,0,0,0,50397706,-1,110,0,-1,2,10
111,Spinning Strikes,1,0,0,0,50397707,-1,111,0,-1,2,10
112,Double Slash,1,0,0,0,50397452,-1,112,0,-1,6,255
113,Prelate's Charge,1,0,0,0,50397709,-1,113,0,-1,20,255
114,Unsheathe,0,0,0,0,50397710,-1,114,0,-1,0,10
115,Square Off,0,0,0,0,50397711,-1,115,0,-1,0,6
116,Giant Hunt,0,0,0,0,50397712,-1,116,0,-1,16,255
117,Torch Attack,1,0,0,0,201392657,-1,117,0,-1,0,255
118,Loretta's Slash,1,0,0,0,50397714,-1,118,0,-1,14,255
119,Poison Moth Flight,1,0,0,0,50397715,-1,119,0,-1,7,255
120,Spinning Weapon,1,0,0,0,50397716,-1,120,0,-1,12,255
121,%null%,1,0,0,0,50397717,-1,121,0,-1,14,255
122,Storm Assault,1,0,0,0,50397718,-1,122,0,-1,22,255
123,Stormcaller,1,0,0,0,50397719,-1,123,0,-1,9,255
124,Sword Dance,1,0,0,0,50397720,-1,124,0,-1,6,255
125,Spinning Chain,1,0,0,0,50397721,-1,125,0,-1,8,8
200,Glintblade Phalanx,0,0,0,0,50397746,-1,200,0,-1,10,255
201,Sacred Blade,1,0,0,0,50397747,-1,201,0,-1,19,255
202,Ice Spear,1,0,0,0,50397748,-1,202,0,-1,15,255
203,Glintstone Pebble,1,0,0,0,50397749,-1,203,0,-1,8,255
204,Bloody Slash,1,0,0,0,50397750,-1,204,0,-1,6,255
205,Lifesteal Fist,1,0,0,0,50397751,-1,205,0,-1,14,255
207,Eruption,1,0,0,0,50397752,-1,207,0,-1,14,255
208,Prayerful Strike,1,0,0,0,50397753,-1,208,0,-1,20,255
209,Gravitas,0,0,0,0,50397754,-1,209,0,-1,13,255
210,Storm Blade,0,0,0,0,50397755,-1,210,0,-1,10,255
212,Earthshaker,1,0,0,0,50397757,-1,212,0,-1,10,255
213,Golden Land,1,0,0,0,50397758,-1,213,0,-1,16,255
214,Flaming Strike,1,0,0,0,50397759,-1,214,0,-1,4,255
216,Thunderbolt,0,0,0,0,50397760,-1,216,0,-1,10,255
217,Lightning Slash,1,0,0,0,50397761,-1,217,0,-1,10,255
218,Carian Grandeur,1,0,0,0,50397762,-1,218,0,-1,26,255
219,Carian Greatsword,0,0,0,0,50397763,-1,219,0,-1,16,255
220,Vacuum Slice,1,0,0,0,50397764,-1,220,0,-1,18,255
221,Black Flame Tornado,1,0,0,0,50397765,-1,221,0,-1,30,255
222,Sacred Ring of Light,1,0,0,0,50397766,-1,222,0,-1,9,255
223,Firebreather,1,0,0,0,66119,-1,223,0,-1,8,255
224,Blood Blade,1,0,0,0,50397768,-1,224,0,-1,3,255
225,Phantom Slash,1,0,0,0,50397769,-1,225,0,-1,8,255
226,Spectral Lance,1,0,0,0,50397770,-1,226,0,-1,9,255
227,Chilling Mist,1,0,0,0,50397771,-1,227,0,-1,14,255
228,Poisonous Mist,1,0,0,0,50397772,-1,228,0,-1,14,255
300,Shield Bash,0,0,0,0,66138,-1,300,0,-1,10,255
301,Barricade Shield,0,0,0,0,66139,-1,301,0,-1,8,255
302,Parry,0,0,0,0,66140,-1,302,0,-1,0,255
303,Buckler Parry,0,0,0,0,66141,-1,303,0,-1,0,255
305,Carian Retaliation,0,0,0,0,66143,-1,305,0,-1,8,255
306,Storm Wall,1,0,0,0,66144,-1,306,0,-1,3,255
307,Golden Parry,1,0,0,0,66145,-1,307,0,-1,4,255
308,Shield Crash,1,0,0,0,66146,-1,308,0,-1,12,255
309,Thops's Barrier,1,0,0,0,66147,-1,309,0,-1,0,255
400,Through and Through,1,0,0,0,33620580,-1,400,0,-1,0,9
401,Barrage,0,0,0,0,33620581,-1,401,0,-1,0,2
402,Mighty Shot,0,0,0,0,33620582,-1,402,0,-1,0,6
404,Enchanted Shot,1,0,0,0,33620583,-1,404,0,-1,0,8
405,Sky Shot,1,0,0,0,33620588,-1,405,0,-1,0,3
406,Rain of Arrows,1,0,0,0,33620585,-1,406,0,-1,0,20
407,%null%,1,0,0,0,33620586,-1,407,0,-1,0,8
501,Hoarfrost Stomp,1,0,0,0,50397806,-1,501,0,-1,10,255
502,Storm Stomp,0,0,0,0,50397807,-1,502,0,-1,6,255
503,Kick,0,0,0,0,50397808,-1,503,0,-1,0,255
504,Lightning Ram,1,0,0,0,50397553,-1,504,0,-1,5,255
505,Flame of the Redmanes,1,0,0,0,50397554,-1,505,0,-1,14,255
506,Ground Slam,1,0,0,0,50397811,-1,506,0,-1,14,255
507,Golden Slam,1,0,0,0,50397812,-1,507,0,-1,22,255
508,Waves of Darkness,1,0,0,0,50397813,-1,508,0,-1,16,255
509,Hoarah Loux's Earthshaker,1,0,0,0,50397814,-1,509,0,-1,16,255
600,Determination,0,0,0,0,50397570,-1,600,0,-1,10,255
601,Royal Knight's Resolve,1,0,0,0,50397571,-1,601,0,-1,15,255
602,Assassin's Gambit,1,0,0,0,50397828,-1,602,0,-1,5,255
603,Golden Vow,1,0,0,0,50397829,-1,603,0,-1,40,255
604,Sacred Order,1,0,0,0,50397830,-1,604,0,-1,18,255
605,Shared Order,1,0,0,0,50397831,-1,605,0,-1,20,255
606,Seppuku,1,0,0,0,50397832,-1,606,0,-1,4,255
607,Cragblade,1,0,0,0,50397833,-1,607,0,-1,16,255
650,Barbaric Roar,0,0,0,0,50397836,-1,650,0,-1,16,255
651,War Cry,1,0,0,0,50397837,-1,651,0,-1,16,255
652,Beast's Roar,1,0,0,0,50397838,-1,652,0,-1,10,255
653,Troll's Roar,1,0,0,0,50397839,-1,653,0,-1,22,255
654,Braggart's Roar,1,0,0,0,50397840,-1,654,0,-1,16,255
700,Endure,0,0,0,0,50397846,-1,700,0,-1,9,255
701,Vow of the Indomitable,1,0,0,0,66199,-1,701,0,-1,20,255
702,Holy Ground,0,0,0,0,66200,-1,702,0,-1,30,255
800,Quickstep,0,0,0,0,50397595,-1,800,0,-1,3,255
801,Bloodhound's Step,1,0,0,0,50397596,-1,801,0,-1,5,255
802,Raptor of the Mists,1,0,0,0,50397597,-1,802,0,-1,14,255
850,White Shadow's Lure,1,0,0,0,50397600,-1,850,0,-1,15,255
1000,Surge of Faith,1,0,0,0,50397896,-1,1000,0,-1,15,255
1001,Flame Spit,1,0,0,0,66249,-1,1001,0,-1,28,255
1002,Tongues of Fire,1,0,0,0,66250,-1,1002,0,-1,5,255
1003,Oracular Bubble,1,0,0,0,50397899,-1,1003,0,-1,6,255
1004,Bubble Shower,1,0,0,0,50397900,-1,1004,0,-1,16,255
1005,Great Oracular Bubble,1,0,0,0,50397901,-1,1005,0,-1,28,255
1006,Sea of Magma,1,0,0,0,50397902,-1,1006,0,-1,5,255
1007,Viper Bite,0,0,0,0,66255,-1,1007,0,-1,8,255
1008,Moonlight Greatsword,1,0,0,0,50397904,-1,1008,0,-1,40,255
1009,Siluria's Woe,1,0,0,0,50397905,-1,1009,0,-1,25,255
1010,Rallying Standard,1,0,0,0,50397906,-1,1010,0,-1,30,255
1011,Bear Witness!,1,0,0,0,66259,-1,1011,0,-1,20,255
1012,Eochaid's Dancing Blade,1,0,0,0,50397908,-1,1012,0,-1,15,255
1013,Soul Stifler,1,0,0,0,50397909,-1,1013,0,-1,12,255
1014,Taker's Flames,1,0,0,0,50397910,-1,1014,0,-1,30,255
1015,Shriek of Milos,1,0,0,0,50397911,-1,1015,0,-1,30,255
1016,Reduvia Blood Blade,0,0,0,0,50397912,-1,1016,0,-1,6,255
1017,Glintstone Dart,1,0,0,0,50397913,-1,1017,0,-1,10,255
1018,Flowing Form,1,0,0,0,50397914,-1,1018,0,-1,9,255
1019,Night-and-Flame Stance,1,0,0,0,50397915,-1,1019,0,-1,0,19
1020,Wave of Gold,1,0,0,0,50397916,-1,1020,0,-1,50,255
1021,Ruinous Ghostflame,1,0,0,0,50397917,-1,1021,0,-1,20,255
1022,Establish Order,1,0,0,0,50397918,-1,1022,0,-1,20,255
1023,Mists of Slumber,1,0,0,0,50397919,-1,1023,0,-1,20,255
1024,Spearcall Ritual,1,0,0,0,50397920,-1,1024,0,-1,20,255
1025,Wolf's Assault,1,0,0,0,50397921,-1,1025,0,-1,20,255
1026,Thundercloud Form,1,0,0,0,50397922,-1,1026,0,-1,35,255
1027,Cursed-Blood Slice,1,0,0,0,50397923,-1,1027,0,-1,20,255
1028,Waterfowl Dance,1,0,0,0,50397924,-1,1028,0,-1,12,255
1029,Gold Breaker,1,0,0,0,50397925,-1,1029,0,-1,31,255
1030,I Command Thee, Kneel!,1,0,0,0,50397926,-1,1030,0,-1,15,255
1031,Regal Roar,1,0,0,0,50397927,-1,1031,0,-1,25,255
1032,Starcaller Cry,1,0,0,0,50397928,-1,1032,0,-1,20,255
1033,Wave of Destruction,1,0,0,0,50397929,-1,1033,0,-1,25,255
1034,Bloodboon Ritual,1,0,0,0,50397930,-1,1034,0,-1,20,255
1035,Flowing Form,1,0,0,0,50397931,-1,1035,0,-1,16,255
1036,Blade of Death,1,0,0,0,50397932,-1,1036,0,-1,25,255
1037,Blade of Gold,1,0,0,0,50397933,-1,1037,0,-1,20,255
1038,Destined Death,1,0,0,0,50397934,-1,1038,0,-1,40,255
1039,Spinning Wheel,1,0,0,0,50397935,-1,1039,0,-1,3,255
1040,Alabaster Lords' Pull,1,0,0,0,50397936,-1,1040,0,-1,15,255
1041,Onyx Lords' Repulsion,1,0,0,0,50397937,-1,1041,0,-1,27,255
1042,Oath of Vengeance,1,0,0,0,50397938,-1,1042,0,-1,20,255
1043,Ice Lightning Sword,0,0,0,0,50397939,-1,1043,0,-1,25,255
1044,Regal Beastclaw,1,0,0,0,50397940,-1,1044,0,-1,20,255
1045,Flame Dance,1,0,0,0,50397941,-1,1045,0,-1,25,255
1046,Claw Flick,1,0,0,0,50397942,-1,1046,0,-1,14,255
