Row ID;Row Name;disableParam_NT;matchAreaId
0;;0;0;
10000040;;0;1000;
10000041;;0;1400;
10000042;;0;1400;
10000043;;0;1400;
10000044;;0;1400;
10000045;;0;1400;
11000040;;0;3400;
11000041;;0;3400;
11000042;;0;3400;
11000043;;0;3400;
11000044;;0;3400;
11050040;;0;7000;
11050041;;0;7000;
12010040;;0;6000;
12010041;;0;6000;
12010042;;0;6000;
12010043;;0;6200;
12010044;;0;6200;
12010045;;0;6200;
12010046;;0;6200;
12020040;;0;6400;
12020041;;0;6400;
12020042;;0;6500;
12020043;;0;6500;
12020044;;0;6500;
12020045;;0;6500;
12020046;;0;6400;
12030040;;0;6600;
12030041;;0;6600;
12030042;;0;6600;
12030043;;0;6600;
12030044;;0;6600;
12050040;;0;6800;
12050041;;0;6800;
12050042;;0;6800;
12070040;;0;6400;
12070041;;0;6500;
13000040;;0;7200;
13000041;;0;7200;
13000042;;0;7200;
13000043;;0;7200;
13000044;;0;7200;
13000045;;0;7200;
13000046;;0;7200;
13000047;;0;7200;
14000040;;0;2400;
14000041;;0;2400;
14000042;;0;2400;
14000043;;0;2400;
15000040;;0;5400;
15000041;;0;5400;
15000042;;0;5400;
15000044;;0;5400;
15000045;;0;5600;
15000046;;0;5600;
15000047;;0;5600;
15000049;;0;5600;
16000040;;0;3600;
16000041;;0;3600;
16000042;;0;3600;
16000043;;0;3600;
16000044;;0;3600;
19000040;;0;7800;
30000040;;0;1200;
30010040;;0;1200;
30020040;;0;1000;
30030040;;0;2000;
30040040;;0;1000;
30050040;;0;2000;
30060040;;0;2000;
30070040;;0;3200;
30080040;;0;3000;
30090040;;0;3200;
30100040;;0;3300;
30110040;;0;1000;
30120040;;0;3200;
30140040;;0;4000;
30150040;;0;4000;
30160040;;0;4200;
30170040;;0;5000;
30180040;;0;5000;
30190040;;0;5200;
30200040;;0;5200;
31000040;;0;1000;
31010040;;0;1200;
31020040;;0;1200;
31030040;;0;1000;
31040040;;0;2000;
31050040;;0;2000;
31060040;;0;2000;
31070040;;0;3200;
31090040;;0;3200;
31100040;;0;4200;
31110040;;0;4000;
31120040;;0;5200;
31150040;;0;1000;
31170040;;0;1000;
31180040;;0;3000;
31190040;;0;3200;
31200040;;0;4000;
31210040;;0;4000;
31220040;;0;5000;
32000040;;0;1200;
32010040;;0;1000;
32020040;;0;2000;
32040040;;0;3200;
32050040;;0;3000;
32070040;;0;4000;
32080040;;0;4000;
32110040;;0;5200;
34100040;;0;1000;
34110040;;0;2000;
34120040;;0;3300;
34120041;;0;3300;
34130040;;0;4200;
35000040;;0;3500;
35000041;;0;3500;
35000042;;0;3500;
39200040;;0;2600;
39200041;;0;2600;
1035530040;;0;3200;
1036520040;;0;3200;
1036540040;;0;3200;
1036540041;;0;3200;
1037530040;;0;3200;
1038520040;;0;3000;
1039540040;;0;3000;
1040530040;;0;3000;
1042540040;;0;3000;
1044530040;;0;3300;
1045520040;;0;3300;
1046400040;;0;4000;
1047400040;;0;4000;
1047510840;;0;5000;
1048370040;;0;4000;
1049380040;;0;4000;
1049380041;;0;4000;
1049560840;;0;5200;
1049570840;;0;5200;
1050400040;;0;4200;
1051360040;;0;4000;
1051370040;;0;4000;
1051400040;;0;4200;
1051570840;;0;5000;
1051570841;;0;5000;
1052410040;;0;4200;
1052530840;;0;5000;
1052570840;;0;5000;
1053570840;;0;5000;
1060330040;;0;2000;
1060340040;;0;2000;
1060340041;;0;2000;
1060340043;;0;2000;
1060350040;;0;2000;
1060380040;;0;2000;
1060410040;;0;1200;
1060420040;;0;1000;
1060430040;;0;1000;
1060430041;;0;1000;
1060430042;;0;1200;
1060430043;;0;1200;
1060440040;;0;1000;
