Row ID;Row Name;correctStrength
1000;;0
1100;;30
1200;;20
1210;;20
1220;;20
1230;;20
1240;;20
1250;;20
1260;;20
1400;;25
1410;;25
1420;;25
1430;;25
1500;;0
1600;;0
1700;;25
1800;;0
1900;;0
2000;;0
2100;;0
2200;;0
11000;;30
12000;;30
13000;;50
100000;;50
100100;;42
100200;;42
100300;;42
100400;;50
100500;;50
100600;;50
100700;;50
100800;;50
100900;;50
101000;;42
110000;Unarmed;50
170000;Throwing Dagger;95
171000;Bone Dart;95
172000;Poisonbone Dart;40
173000;Kukri;155
174000;Crystal Dart;40
175000;Fan Daggers;95
176000;Ruin Fragment;155
183000;Explosive Stone;145
183100;Explosive Stone Clump;155
184000;Poisoned Stone;145
184100;Poisoned Stone Clump;155
300000;Ancestral Infant's Head;0
301000;Omen Bairn;0
301100;Regal Omen Bairn;0
302000;Miranda's Prayer;0
303000;Cuckoo Glintstone;0
305000;Glintstone Scrap;0
305100;Large Glintstone Scrap;0
306000;Gravity Stone Fan;85
307000;Gravity Stone Chunk;85
308000;Wraith Calling Bell;0
351000;Spark Aromatic;25
358000;Poison Spraymist;0
361000;Acid Spraymist;0
830000;Fire Pot;100
830100;Redmane Fire Pot;90
830200;Giantsflame Fire Pot;0
832000;Lightning Pot;25
832100;Ancient Dragonbolt Pot;25
833000;Fetid Pot;0
834000;Swarm Pot;0
835000;Holy Water Pot;0
835100;Sacred Order Pot;0
836000;;0
837000;Poison Pot;0
840000;Roped Fire Pot;100
842000;Roped Lightning Pot;25
843000;Roped Fetid Pot;0
844000;Roped Poison Pot;0
846000;Roped Magic Pot;0
847000;Roped Fly Pot;0
848000;;0
849000;Roped Volcano Pot;60
851000;Roped Holy Water Pot;0
860000;Volcano Pot;60
864000;Sleep Pot;0
865000;Rancor Pot;0
866000;Magic Pot;0
866100;Academy Magic Pot;0
867000;;0
1000000;Dagger;35
1000100;Dagger [Heavy];55
1000200;Dagger [Keen];20
1000300;Dagger [Quality];63
1000400;Dagger [Fire];47
1000500;Dagger [Flame Art];10
1000600;Dagger [Lightning];10
1000700;Dagger [Sacred];10
1000800;Dagger [Magic];10
1000900;Dagger [Cold];31
1001000;Dagger [Poison];33
1001100;Dagger [Blood];33
1001200;Dagger [Occult];14
1010000;Black Knife;13
1010100;Black Knife [Heavy];86
1010200;Black Knife [Keen];36
1010300;Black Knife [Quality];93
1010400;Black Knife [Fire];54
1010500;Black Knife [Flame Art];18
1010600;Black Knife [Lightning];18
1010700;Black Knife [Sacred];18
1010800;Black Knife [Magic];18
1010900;Black Knife [Cold];68
1011000;Black Knife [Poison];68
1011100;Black Knife [Blood];68
1011200;Black Knife [Occult];28
1020000;Parrying Dagger;16
1020100;Parrying Dagger [Heavy];55
1020200;Parrying Dagger [Keen];9
1020300;Parrying Dagger [Quality];64
1020400;Parrying Dagger [Fire];46
1020500;Parrying Dagger [Flame Art];4
1020600;Parrying Dagger [Lightning];9
1020700;Parrying Dagger [Sacred];4
1020800;Parrying Dagger [Magic];4
1020900;Parrying Dagger [Cold];14
1021000;Parrying Dagger [Poison];15
1021100;Parrying Dagger [Blood];15
1021200;Parrying Dagger [Occult];6
1030000;Misericorde;15
1030100;Misericorde [Heavy];38
1030200;Misericorde [Keen];13
1030300;Misericorde [Quality];45
1030400;Misericorde [Fire];29
1030500;Misericorde [Flame Art];4
1030600;Misericorde [Lightning];6
1030700;Misericorde [Sacred];4
1030800;Misericorde [Magic];4
1030900;Misericorde [Cold];13
1031000;Misericorde [Poison];14
1031100;Misericorde [Blood];14
1031200;Misericorde [Occult];6
1040000;Reduvia;13
1040100;Reduvia [Heavy];62
1040200;Reduvia [Keen];26
1040300;Reduvia [Quality];67
1040400;Reduvia [Fire];39
1040500;Reduvia [Flame Art];13
1040600;Reduvia [Lightning];13
1040700;Reduvia [Sacred];13
1040800;Reduvia [Magic];13
1040900;Reduvia [Cold];49
1041000;Reduvia [Poison];49
1041100;Reduvia [Blood];49
1041200;Reduvia [Occult];20
1050000;Crystal Knife;40
1050100;Crystal Knife [Heavy];60
1050200;Crystal Knife [Keen];25
1050300;Crystal Knife [Quality];65
1050400;Crystal Knife [Fire];37
1050500;Crystal Knife [Flame Art];12
1050600;Crystal Knife [Lightning];12
1050700;Crystal Knife [Sacred];12
1050800;Crystal Knife [Magic];12
1050900;Crystal Knife [Cold];47
1051000;Crystal Knife [Poison];47
1051100;Crystal Knife [Blood];47
1051200;Crystal Knife [Occult];20
1060000;Celebrant's Sickle;15
1060100;Celebrant's Sickle [Heavy];49
1060200;Celebrant's Sickle [Keen];16
1060300;Celebrant's Sickle [Quality];57
1060400;Celebrant's Sickle [Fire];41
1060500;Celebrant's Sickle [Flame Art];4
1060600;Celebrant's Sickle [Lightning];8
1060700;Celebrant's Sickle [Sacred];4
1060800;Celebrant's Sickle [Magic];4
1060900;Celebrant's Sickle [Cold];13
1061000;Celebrant's Sickle [Poison];14
1061100;Celebrant's Sickle [Blood];14
1061200;Celebrant's Sickle [Occult];6
1070000;Glintstone Kris;13
1070100;Glintstone Kris [Heavy];70
1070200;Glintstone Kris [Keen];29
1070300;Glintstone Kris [Quality];76
1070400;Glintstone Kris [Fire];44
1070500;Glintstone Kris [Flame Art];14
1070600;Glintstone Kris [Lightning];14
1070700;Glintstone Kris [Sacred];14
1070800;Glintstone Kris [Magic];14
1070900;Glintstone Kris [Cold];56
1071000;Glintstone Kris [Poison];56
1071100;Glintstone Kris [Blood];56
1071200;Glintstone Kris [Occult];23
1080000;Scorpion's Stinger;39
1080100;Scorpion's Stinger [Heavy];109
1080200;Scorpion's Stinger [Keen];45
